link;name;num_places
https://www.zomato.com/ncr/connaught-place-delhi-restaurants;Connaught Place;280 places
https://www.zomato.com/ncr/sector-29-gurgaon-gurugram-restaurants;Sector 29;147 places
https://www.zomato.com/ncr/sector-18-noida-restaurants;Sector 18, Noida;235 places
https://www.zomato.com/ncr/rajouri-garden-delhi-restaurants;Rajouri Garden;392 places
https://www.zomato.com/ncr/saket-delhi-restaurants;Saket;355 places
https://www.zomato.com/ncr/dlf-cyber-city-restaurants;DLF Cyber City;185 places
https://www.zomato.com/ncr/golf-course-road-restaurants;Golf Course Road;162 places
https://www.zomato.com/ncr/dlf-phase-4-restaurants;DLF Phase 4;240 places
https://www.zomato.com/ncr/delhi-university-gtb-nagar-delhi-restaurants;Delhi University-GTB Nagar;196 places
https://www.zomato.com/ncr/indirapuram-restaurants;Indirapuram;860 places
https://www.zomato.com/ncr/vasant-kunj-delhi-restaurants;Vasant Kunj;348 places
https://www.zomato.com/ncr/greater-kailash-gk-1-delhi-restaurants;Greater Kailash 1 (GK1);112 places
https://www.zomato.com/ncr/chanakyapuri-delhi-restaurants;Chanakyapuri;116 places
https://www.zomato.com/ncr/rohini-delhi-restaurants;Rohini;1324 places
https://www.zomato.com/ncr/janpath-delhi-restaurants;Janpath;56 places
https://www.zomato.com/ncr/hauz-khas-village-delhi-restaurants;Hauz Khas Village;59 places
https://www.zomato.com/ncr/sector-38-noida-restaurants;Sector 38, Noida;92 places
https://www.zomato.com/ncr/janakpuri-delhi-restaurants;Janakpuri;490 places
https://www.zomato.com/ncr/sector-50-gurgaon-gurugram-restaurants;Sector 50;217 places
https://www.zomato.com/ncr/mg-road-gurgaon-gurugram-restaurants;MG Road;201 places
https://www.zomato.com/ncr/dlf-phase-3-restaurants;DLF Phase 3;451 places
https://www.zomato.com/ncr/punjabi-bagh-delhi-restaurants;Punjabi Bagh;220 places
https://www.zomato.com/ncr/netaji-subhash-place-delhi-restaurants;Netaji Subhash Place;136 places
https://www.zomato.com/ncr/malviya-nagar-delhi-restaurants;Malviya Nagar;402 places
https://www.zomato.com/ncr/khan-market-delhi-restaurants;Khan Market;53 places
https://www.zomato.com/ncr/karol-bagh-delhi-restaurants;Karol Bagh;366 places
https://www.zomato.com/ncr/nehru-place-delhi-restaurants;Nehru Place;107 places
https://www.zomato.com/ncr/sohna-road-restaurants;Sohna Road;280 places
https://www.zomato.com/ncr/greater-kailash-gk-2-delhi-restaurants;Greater Kailash 2 (GK2);117 places
